accepted,cost
291000,2.25875e+06
292000,3.2595e+06
293000,3.20186e+06
294000,3.1216e+06
295000,2.54474e+06
296000,3.04029e+06
297000,2.50957e+06
298000,3.6753e+06
299000,2.88603e+06
300000,2.68566e+06
301000,1.84171e+06
302000,2.92361e+06
303000,3.49142e+06
304000,2.73619e+06
305000,3.658e+06
306000,3.47113e+06
307000,3.13069e+06
308000,3.19972e+06
309000,2.53431e+06
310000,3.23233e+06
311000,2.89961e+06
312000,2.484e+06
313000,3.25314e+06
314000,2.75651e+06
315000,2.68929e+06
316000,3.11052e+06
317000,2.85359e+06
318000,2.66941e+06
319000,3.01961e+06
320000,2.99217e+06
321000,2.82299e+06
322000,3.01943e+06
323000,2.34508e+06
324000,3.04057e+06
325000,2.26809e+06
326000,2.78122e+06
327000,2.78584e+06
328000,2.8286e+06
329000,2.43756e+06
330000,2.83023e+06
331000,3.96216e+06
332000,3.49915e+06
333000,2.90378e+06
334000,2.79799e+06
335000,3.11751e+06
336000,3.16172e+06
337000,2.26504e+06
338000,3.30834e+06
339000,3.08302e+06
340000,2.66753e+06
341000,2.781e+06
342000,2.91859e+06
343000,2.82257e+06
344000,3.77422e+06
345000,2.32376e+06
346000,2.45525e+06
347000,3.10111e+06
348000,3.25771e+06
349000,3.19642e+06
350000,2.4803e+06
351000,3.17314e+06
352000,3.602e+06
353000,3.13888e+06
354000,2.36354e+06
355000,2.77343e+06
356000,3.06945e+06
357000,2.55986e+06
358000,3.11753e+06
359000,2.66162e+06
360000,2.84769e+06
361000,2.15359e+06
362000,2.6245e+06
363000,3.90182e+06
364000,3.1707e+06
365000,2.21284e+06
366000,3.18738e+06
367000,1.94928e+06
368000,1.86161e+06
369000,2.9258e+06
370000,3.25611e+06
371000,3.61919e+06
372000,3.41855e+06
373000,2.34155e+06
374000,2.89613e+06
375000,2.49572e+06
376000,2.7879e+06
377000,3.27238e+06
378000,3.31839e+06
379000,2.63379e+06
380000,2.56239e+06
381000,2.9475e+06
382000,2.36836e+06
383000,2.6951e+06
384000,3.36484e+06
385000,2.16259e+06
386000,3.04388e+06
387000,2.87904e+06
388000,2.91494e+06
389000,2.70921e+06
390000,2.45533e+06
391000,3.62415e+06
392000,1.35322e+06
393000,2.60871e+06
394000,2.54813e+06
395000,2.64039e+06
396000,3.08306e+06
397000,2.76812e+06
398000,2.65684e+06
399000,3.36264e+06
400000,2.44209e+06
401000,2.60417e+06
402000,2.93173e+06
403000,2.10279e+06
404000,2.49039e+06
405000,2.12614e+06
406000,2.65555e+06
407000,3.41382e+06
408000,2.68206e+06
409000,1.60873e+06
410000,3.28818e+06
411000,2.7131e+06
412000,2.58298e+06
413000,2.33121e+06
414000,2.57103e+06
415000,2.40294e+06
416000,2.38804e+06
417000,2.90156e+06
418000,2.63985e+06
419000,3.3123e+06
420000,2.56963e+06
421000,1.84801e+06
422000,2.35388e+06
423000,1.97969e+06
424000,3.00239e+06
425000,2.48685e+06
426000,2.9116e+06
427000,2.12379e+06
428000,3.23294e+06
429000,2.84841e+06
430000,2.14558e+06
431000,2.32532e+06
432000,2.18399e+06
433000,3.0553e+06
434000,1.73303e+06
435000,2.61348e+06
436000,1.44498e+06
437000,2.84851e+06
438000,2.53409e+06
439000,2.01092e+06
440000,2.97326e+06
441000,1.96146e+06
442000,3.20446e+06
443000,2.64455e+06
444000,1.74318e+06
445000,2.92516e+06
446000,3.15663e+06
447000,3.25618e+06
448000,2.10682e+06
449000,3.20483e+06
450000,3.07837e+06
451000,2.43602e+06
452000,2.43946e+06
453000,2.60445e+06
454000,2.59924e+06
455000,3.60487e+06
456000,2.87857e+06
457000,2.84455e+06
458000,1.84582e+06
459000,2.25284e+06
460000,3.35134e+06
461000,2.42168e+06
462000,3.26189e+06
463000,3.12292e+06
464000,1.99432e+06
465000,1.93016e+06
466000,2.62144e+06
467000,1.39748e+06
468000,3.23073e+06
469000,2.39802e+06
470000,1.86248e+06
471000,2.27157e+06
472000,2.76469e+06
473000,2.54496e+06
474000,2.42332e+06
475000,2.84427e+06
476000,2.30821e+06
477000,2.79585e+06
478000,2.71635e+06
479000,1.82377e+06
480000,2.44216e+06
481000,2.1886e+06
482000,2.54854e+06
483000,3.44072e+06
484000,2.01976e+06
485000,2.10817e+06
486000,2.39551e+06
487000,2.38505e+06
488000,2.38241e+06
489000,2.56843e+06
490000,2.08299e+06
491000,2.41751e+06
492000,2.90508e+06
493000,2.18862e+06
494000,2.52226e+06
495000,2.70959e+06
496000,2.78884e+06
497000,3.03886e+06
498000,2.19511e+06
499000,3.11018e+06
500000,2.03704e+06
501000,3.07284e+06
502000,3.12727e+06
503000,2.79375e+06
504000,2.06783e+06
505000,3.37746e+06
506000,1.27645e+06
507000,3.04621e+06
508000,1.63141e+06
509000,2.62592e+06
510000,2.51503e+06
511000,1.32276e+06
512000,2.44408e+06
513000,2.65759e+06
514000,2.53283e+06
515000,2.23514e+06
516000,2.36713e+06
517000,1.61696e+06
518000,2.4614e+06
519000,2.12884e+06
520000,2.00849e+06
521000,1.96348e+06
522000,2.4375e+06
523000,2.5974e+06
524000,1.59377e+06
525000,2.00056e+06
526000,2.43577e+06
527000,3.15842e+06
528000,2.1277e+06
529000,2.3858e+06
530000,2.86495e+06
531000,2.79754e+06
532000,3.45782e+06
533000,2.73317e+06
534000,2.51918e+06
535000,1.60497e+06
536000,2.01479e+06
537000,2.48361e+06
538000,2.68102e+06
539000,2.09583e+06
540000,3.55047e+06
541000,2.35517e+06
542000,2.64496e+06
543000,1.97541e+06
544000,1.59345e+06
545000,2.07794e+06
546000,2.88916e+06
547000,2.19765e+06
548000,2.20917e+06
549000,2.99712e+06
550000,2.35159e+06
551000,1.98669e+06
552000,2.20727e+06
553000,1.56729e+06
554000,1.20451e+06
555000,2.24362e+06
556000,2.43585e+06
557000,2.0406e+06
558000,1.09313e+06
559000,2.58619e+06
560000,2.03951e+06
561000,2.24792e+06
562000,2.00517e+06
563000,2.25017e+06
564000,1.85219e+06
565000,1.80717e+06
566000,2.56677e+06
567000,2.72999e+06
568000,1.89377e+06
569000,2.45861e+06
