instance,seed,batch_size,cooling,epsilon,accept_percentage,initial_temperature,cost,feasible
input-40.tsp,78,2000,0.95,0.0001,0.9,364544.000488281,0.302229240,1
input-40.tsp,79,2000,0.95,0.0001,0.9,344064.000000000,0.288513230,1
input-40.tsp,80,2000,0.95,0.0001,0.9,352928.000000000,0.303821684,1
input-40.tsp,81,2000,0.95,0.0001,0.9,350256.000000000,0.300436803,1
input-40.tsp,82,2000,0.95,0.0001,0.9,348808.000000000,0.270913055,1
input-40.tsp,83,2000,0.95,0.0001,0.9,350208.000000000,0.274314340,1
input-40.tsp,84,2000,0.95,0.0001,0.9,346496.000000000,0.297541057,1
input-40.tsp,85,2000,0.95,0.0001,0.9,349696.000000000,0.307421350,1
input-40.tsp,86,2000,0.95,0.0001,0.9,327680.000000000,0.272339788,1
input-40.tsp,87,2000,0.95,0.0001,0.9,347136.000000000,0.297597164,1
input-40.tsp,88,2000,0.95,0.0001,0.9,325631.999511719,0.309884976,1
input-40.tsp,89,2000,0.95,0.0001,0.9,351235.000000000,0.302505154,1
input-40.tsp,90,2000,0.95,0.0001,0.9,341656.000000000,0.294846055,1
input-40.tsp,91,2000,0.95,0.0001,0.9,342475.729003906,0.302257880,1
input-40.tsp,92,2000,0.95,0.0001,0.9,343983.375000000,0.302903780,1
input-40.tsp,93,2000,0.95,0.0001,0.9,343530.467285156,0.271573565,1
input-40.tsp,94,2000,0.95,0.0001,0.9,368640.000000000,0.286104609,1
input-40.tsp,95,2000,0.95,0.0001,0.9,343501.981933594,0.306114146,1
input-40.tsp,96,2000,0.95,0.0001,0.9,343935.087402344,0.287931928,1
input-40.tsp,97,2000,0.95,0.0001,0.9,335354.968261719,0.302515345,1
input-40.tsp,98,2000,0.95,0.0001,0.9,342014.976074219,0.271281357,1
input-40.tsp,99,2000,0.95,0.0001,0.9,344821.875000000,0.279193470,1
input-40.tsp,100,2000,0.95,0.0001,0.9,340984.619628906,0.298191527,1
input-40.tsp,101,2000,0.95,0.0001,0.9,343709.405761719,0.281357670,1
input-40.tsp,102,2000,0.95,0.0001,0.9,354821.007324219,0.295039842,1
input-40.tsp,103,2000,0.95,0.0001,0.9,344064.000000000,0.273679544,1
input-40.tsp,104,2000,0.95,0.0001,0.9,354400.000000000,0.271507354,1
input-40.tsp,105,2000,0.95,0.0001,0.9,342623.957031250,0.286290260,1
input-40.tsp,106,2000,0.95,0.0001,0.9,350409.000000000,0.300217104,1
input-40.tsp,107,2000,0.95,0.0001,0.9,353292.455566406,0.280387609,1
input-40.tsp,108,2000,0.95,0.0001,0.9,350233.592773438,0.323031404,1
input-40.tsp,109,2000,0.95,0.0001,0.9,337856.000000000,0.300502010,1
input-40.tsp,110,2000,0.95,0.0001,0.9,343040.000000000,0.277590102,1
input-40.tsp,111,2000,0.95,0.0001,0.9,360512.004394531,0.266997556,1
input-40.tsp,112,2000,0.95,0.0001,0.9,345499.302246094,0.277590102,1
input-40.tsp,113,2000,0.95,0.0001,0.9,347164.000000000,0.310525142,1
input-40.tsp,114,2000,0.95,0.0001,0.9,347416.496582031,0.292867038,1
input-40.tsp,115,2000,0.95,0.0001,0.9,350372.867187500,0.294001543,1
input-40.tsp,116,2000,0.95,0.0001,0.9,342848.000000000,0.292878921,1
input-40.tsp,117,2000,0.95,0.0001,0.9,345365.984863281,0.275858596,1
input-40.tsp,118,2000,0.95,0.0001,0.9,347050.312011719,0.295867764,1
input-40.tsp,119,2000,0.95,0.0001,0.9,342525.475097656,0.299197046,1
input-40.tsp,120,2000,0.95,0.0001,0.9,360448.000000000,0.284080549,1
input-40.tsp,121,2000,0.95,0.0001,0.9,343040.000000000,0.286778468,1
input-40.tsp,122,2000,0.95,0.0001,0.9,360448.000000000,0.308011064,1
input-40.tsp,123,2000,0.95,0.0001,0.9,346000.000000000,0.285123999,1
input-40.tsp,124,2000,0.95,0.0001,0.9,344064.000000000,0.298289603,1
input-40.tsp,125,2000,0.95,0.0001,0.9,352640.064453125,0.300005886,1
input-40.tsp,126,2000,0.95,0.0001,0.9,342462.983886719,0.285653135,1
input-40.tsp,127,2000,0.95,0.0001,0.9,345088.000000000,0.277746708,1
input-40.tsp,128,2000,0.95,0.0001,0.9,339904.000000000,0.290361290,1
input-40.tsp,129,2000,0.95,0.0001,0.9,343495.250000000,0.272986220,1
input-40.tsp,130,2000,0.95,0.0001,0.9,346755.647949219,0.301416162,1
input-40.tsp,131,2000,0.95,0.0001,0.9,353350.000000000,0.301029880,1
input-40.tsp,132,2000,0.95,0.0001,0.9,350432.265625000,0.321966430,1
input-40.tsp,133,2000,0.95,0.0001,0.9,327680.000000000,0.302138949,1
input-40.tsp,134,2000,0.95,0.0001,0.9,353280.000000000,0.271980668,1
input-40.tsp,135,2000,0.95,0.0001,0.9,368640.000000000,0.273307032,1
input-40.tsp,136,2000,0.95,0.0001,0.9,327679.968261719,0.294225372,1
input-40.tsp,137,2000,0.95,0.0001,0.9,350688.000000000,0.297415206,1
input-40.tsp,138,2000,0.95,0.0001,0.9,360464.000000000,0.269268256,1
input-40.tsp,139,2000,0.95,0.0001,0.9,360832.000000000,0.286770796,1
input-40.tsp,140,2000,0.95,0.0001,0.9,339966.248535156,0.290463853,1
input-40.tsp,141,2000,0.95,0.0001,0.9,360462.281738281,0.304219316,1
input-40.tsp,142,2000,0.95,0.0001,0.9,344030.995605469,0.280102106,1
input-40.tsp,143,2000,0.95,0.0001,0.9,343552.000000000,0.273603950,1
input-40.tsp,144,2000,0.95,0.0001,0.9,337920.000000000,0.305665259,1
input-40.tsp,145,2000,0.95,0.0001,0.9,360448.000000000,0.266678917,1
input-40.tsp,146,2000,0.95,0.0001,0.9,356881.000000000,0.277220366,1
input-40.tsp,147,2000,0.95,0.0001,0.9,349640.464355469,0.284008320,1
input-40.tsp,148,2000,0.95,0.0001,0.9,342016.000000000,0.310837492,1
input-40.tsp,149,2000,0.95,0.0001,0.9,348160.000000000,0.279781720,1
input-40.tsp,150,2000,0.95,0.0001,0.9,341632.000000000,0.300568324,1
input-40.tsp,151,2000,0.95,0.0001,0.9,350193.001464844,0.294369525,1
input-40.tsp,152,2000,0.95,0.0001,0.9,341719.748535156,0.312824485,1
