instance,seed,batch_size,cooling,epsilon,accept_percentage,initial_temperature,cost,feasible
input-150.tsp,4,4500,0.99,0.0001,0.92,133650.000976562,0.167150280,1
input-150.tsp,3,4500,0.99,0.0001,0.92,127488.000000000,33760.101966469,0
input-150.tsp,1,4500,0.99,0.0001,0.92,135168.000000000,0.162358927,1
input-150.tsp,8,4500,0.99,0.0001,0.92,126972.000000000,0.144547824,1
input-150.tsp,6,4500,0.99,0.0001,0.92,132128.000000000,0.166613218,1
input-150.tsp,7,4500,0.99,0.0001,0.92,135168.000000000,0.173970851,1
input-150.tsp,5,4500,0.99,0.0001,0.92,133120.000000000,0.172488341,1
input-150.tsp,2,4500,0.99,0.0001,0.92,131456.000000000,0.153151840,1
input-150.tsp,10,4500,0.99,0.0001,0.92,129022.750000000,0.170982254,1
input-150.tsp,12,4500,0.99,0.0001,0.92,126975.000000000,0.145670646,1
input-150.tsp,11,4500,0.99,0.0001,0.92,137216.000000000,0.155793129,1
input-150.tsp,13,4500,0.99,0.0001,0.92,132096.000000000,0.161514690,1
input-150.tsp,9,4500,0.99,0.0001,0.92,132704.000000000,0.165256566,1
input-150.tsp,14,4500,0.99,0.0001,0.92,132096.000000000,0.166912123,1
input-150.tsp,15,4500,0.99,0.0001,0.92,132672.000000000,0.158395533,1
input-150.tsp,16,4500,0.99,0.0001,0.92,131982.910156250,0.161273947,1
input-150.tsp,17,4500,0.99,0.0001,0.92,129024.000000000,0.153930842,1
input-150.tsp,18,4500,0.99,0.0001,0.92,132297.000000000,0.160906541,1
input-150.tsp,19,4500,0.99,0.0001,0.92,128896.000000000,0.173346795,1
input-150.tsp,21,4500,0.99,0.0001,0.92,130816.000000000,0.162324556,1
input-150.tsp,20,4500,0.99,0.0001,0.92,130497.919921875,0.146273831,1
input-150.tsp,23,4500,0.99,0.0001,0.92,137216.000000000,0.169391546,1
input-150.tsp,22,4500,0.99,0.0001,0.92,131584.000000000,0.160819709,1
input-150.tsp,24,4500,0.99,0.0001,0.92,132608.000000000,0.177501236,1
input-150.tsp,25,4500,0.99,0.0001,0.92,131584.000000000,0.166310478,1
input-150.tsp,26,4500,0.99,0.0001,0.92,131052.000000000,0.164015836,1
input-150.tsp,29,4500,0.99,0.0001,0.92,133925.000000000,0.153228296,1
input-150.tsp,28,4500,0.99,0.0001,0.92,130592.000000000,0.166061907,1
input-150.tsp,30,4500,0.99,0.0001,0.92,133376.000000000,0.167612375,1
input-150.tsp,27,4500,0.99,0.0001,0.92,135168.000000000,0.159623004,1
input-150.tsp,32,4500,0.99,0.0001,0.92,133120.000000000,0.165905739,1
input-150.tsp,31,4500,0.99,0.0001,0.92,130560.000000000,0.168299113,1
input-150.tsp,33,4500,0.99,0.0001,0.92,131697.000000000,0.164650186,1
input-150.tsp,34,4500,0.99,0.0001,0.92,130030.992187500,0.163748342,1
input-150.tsp,35,4500,0.99,0.0001,0.92,131248.000000000,0.164584267,1
input-150.tsp,37,4500,0.99,0.0001,0.92,131841.003906250,0.163023570,1
input-150.tsp,38,4500,0.99,0.0001,0.92,135168.000000000,0.143958214,1
input-150.tsp,36,4500,0.99,0.0001,0.92,131632.000000000,0.169550252,1
input-150.tsp,40,4500,0.99,0.0001,0.92,132096.000000000,0.158303951,1
input-150.tsp,39,4500,0.99,0.0001,0.92,136192.000488281,0.153619829,1
input-150.tsp,41,4500,0.99,0.0001,0.92,130256.000000000,0.146863510,1
input-150.tsp,42,4500,0.99,0.0001,0.92,131584.000000000,0.163445139,1
input-150.tsp,44,4500,0.99,0.0001,0.92,132864.000000000,0.165077608,1
input-150.tsp,43,4500,0.99,0.0001,0.92,130816.000000000,0.150831157,1
input-150.tsp,46,4500,0.99,0.0001,0.92,131787.285156250,0.160646914,1
input-150.tsp,45,4500,0.99,0.0001,0.92,130425.919921875,0.171454363,1
input-150.tsp,47,4500,0.99,0.0001,0.92,132160.000000000,0.170046332,1
input-150.tsp,48,4500,0.99,0.0001,0.92,135168.000000000,0.161329816,1
input-150.tsp,49,4500,0.99,0.0001,0.92,128439.998046875,0.163220972,1
input-150.tsp,50,4500,0.99,0.0001,0.92,131604.000000000,0.170713962,1
input-150.tsp,52,4500,0.99,0.0001,0.92,129536.000000000,33759.783803371,0
input-150.tsp,53,4500,0.99,0.0001,0.92,128510.000000000,0.165585435,1
input-150.tsp,51,4500,0.99,0.0001,0.92,128928.000000000,0.162920951,1
input-150.tsp,56,4500,0.99,0.0001,0.92,131456.000000000,0.148751819,1
input-150.tsp,55,4500,0.99,0.0001,0.92,133120.000000000,0.166267196,1
input-150.tsp,54,4500,0.99,0.0001,0.92,133632.000000000,0.163164687,1
input-150.tsp,57,4500,0.99,0.0001,0.92,135168.000000000,0.147334198,1
input-150.tsp,58,4500,0.99,0.0001,0.92,131969.000000000,0.153550825,1
input-150.tsp,61,4500,0.99,0.0001,0.92,129920.000000000,0.168182978,1
input-150.tsp,59,4500,0.99,0.0001,0.92,131744.000000000,0.159696671,1
input-150.tsp,60,4500,0.99,0.0001,0.92,130048.000000000,0.188715903,1
input-150.tsp,62,4500,0.99,0.0001,0.92,133154.187500000,0.165976243,1
input-150.tsp,63,4500,0.99,0.0001,0.92,135424.250000000,0.168520588,1
input-150.tsp,64,4500,0.99,0.0001,0.92,131584.000000000,0.150403027,1
input-150.tsp,66,4500,0.99,0.0001,0.92,131328.000000000,0.148107028,1
input-150.tsp,65,4500,0.99,0.0001,0.92,131425.500000000,0.174039647,1
input-150.tsp,67,4500,0.99,0.0001,0.92,135200.000000000,0.166625756,1
input-150.tsp,68,4500,0.99,0.0001,0.92,132228.000000000,0.153898157,1
input-150.tsp,69,4500,0.99,0.0001,0.92,133120.000000000,0.165404496,1
input-150.tsp,70,4500,0.99,0.0001,0.92,130727.146484375,0.163769604,1
input-150.tsp,71,4500,0.99,0.0001,0.92,133136.000488281,0.162670834,1
input-150.tsp,72,4500,0.99,0.0001,0.92,133376.000000000,0.170074416,1
input-150.tsp,73,4500,0.99,0.0001,0.92,128432.000000000,0.167680994,1
input-150.tsp,74,4500,0.99,0.0001,0.92,126976.000000000,0.144516261,1
input-150.tsp,75,4500,0.99,0.0001,0.92,132096.000000000,0.161926572,1
input-150.tsp,76,4500,0.99,0.0001,0.92,131584.000000000,0.159873234,1
input-150.tsp,77,4500,0.99,0.0001,0.92,133248.000000000,0.152540920,1
input-150.tsp,78,4500,0.99,0.0001,0.92,131152.000000000,0.159010905,1
input-150.tsp,79,4500,0.99,0.0001,0.92,133136.000000000,0.161035815,1
input-150.tsp,80,4500,0.99,0.0001,0.92,132608.000000000,0.143693040,1
input-150.tsp,81,4500,0.99,0.0001,0.92,131392.000000000,0.160884453,1
input-150.tsp,82,4500,0.99,0.0001,0.92,129024.000000000,0.165476847,1
input-150.tsp,83,4500,0.99,0.0001,0.92,132112.000000000,0.163586843,1
input-150.tsp,84,4500,0.99,0.0001,0.92,131400.000000000,0.151546602,1
input-150.tsp,85,4500,0.99,0.0001,0.92,132096.000000000,0.165347833,1
input-150.tsp,86,4500,0.99,0.0001,0.92,131584.000000000,0.160960270,1
input-150.tsp,87,4500,0.99,0.0001,0.92,131584.000000000,0.156248679,1
input-150.tsp,88,4500,0.99,0.0001,0.92,131456.000000000,0.174927692,1
input-150.tsp,89,4500,0.99,0.0001,0.92,129792.000000000,0.154245327,1
input-150.tsp,90,4500,0.99,0.0001,0.92,128761.350097656,0.166765431,1
input-150.tsp,91,4500,0.99,0.0001,0.92,130616.635742188,0.149668128,1
input-150.tsp,92,4500,0.99,0.0001,0.92,129768.000000000,2773.837405633,0
input-150.tsp,93,4500,0.99,0.0001,0.92,131976.000000000,0.170166071,1
input-150.tsp,94,4500,0.99,0.0001,0.92,132096.000000000,0.165511195,1
input-150.tsp,95,4500,0.99,0.0001,0.92,131840.000000000,0.147480098,1
input-150.tsp,96,4500,0.99,0.0001,0.92,132448.000000000,0.175320889,1
input-150.tsp,97,4500,0.99,0.0001,0.92,131956.000000000,0.148773632,1
input-150.tsp,98,4500,0.99,0.0001,0.92,126976.000000000,0.166584903,1
input-150.tsp,101,4500,0.99,0.0001,0.92,126976.000000000,0.172255075,1
input-150.tsp,100,4500,0.99,0.0001,0.92,132053.296875000,0.166105134,1
input-150.tsp,99,4500,0.99,0.0001,0.92,133120.162109375,0.160441019,1
input-150.tsp,102,4500,0.99,0.0001,0.92,130560.000000000,0.164370206,1
input-150.tsp,103,4500,0.99,0.0001,0.92,133144.000000000,0.165252967,1
input-150.tsp,104,4500,0.99,0.0001,0.92,130997.022460938,0.158345822,1
input-150.tsp,105,4500,0.99,0.0001,0.92,129926.000000000,0.150215102,1
input-150.tsp,106,4500,0.99,0.0001,0.92,131184.000000000,0.154518122,1
input-150.tsp,107,4500,0.99,0.0001,0.92,126975.765625000,0.148078987,1
input-150.tsp,108,4500,0.99,0.0001,0.92,126976.000000000,0.160770649,1
input-150.tsp,109,4500,0.99,0.0001,0.92,133120.000000000,0.170104832,1
input-150.tsp,110,4500,0.99,0.0001,0.92,131977.500488281,0.160620079,1
input-150.tsp,111,4500,0.99,0.0001,0.92,131208.319335938,0.151344867,1
input-150.tsp,112,4500,0.99,0.0001,0.92,131984.000000000,0.168454698,1
input-150.tsp,113,4500,0.99,0.0001,0.92,131456.000000000,0.146317432,1
input-150.tsp,114,4500,0.99,0.0001,0.92,132608.000000000,0.162724095,1
input-150.tsp,117,4500,0.99,0.0001,0.92,133120.000000000,0.165701296,1
input-150.tsp,116,4500,0.99,0.0001,0.92,130048.000000000,0.146781011,1
input-150.tsp,115,4500,0.99,0.0001,0.92,131142.812500000,0.154695032,1
input-150.tsp,118,4500,0.99,0.0001,0.92,129396.000000000,0.167749666,1
input-150.tsp,120,4500,0.99,0.0001,0.92,133120.000000000,0.158139897,1
input-150.tsp,119,4500,0.99,0.0001,0.92,131840.000000000,0.158310164,1
input-150.tsp,121,4500,0.99,0.0001,0.92,129024.000000000,0.162932335,1
input-150.tsp,122,4500,0.99,0.0001,0.92,131136.000000000,0.145170064,1
input-150.tsp,123,4500,0.99,0.0001,0.92,132352.000000000,0.142812737,1
input-150.tsp,125,4500,0.99,0.0001,0.92,132026.250000000,0.157833929,1
input-150.tsp,124,4500,0.99,0.0001,0.92,129440.000000000,0.164831210,1
input-150.tsp,126,4500,0.99,0.0001,0.92,139264.000000000,0.165130517,1
input-150.tsp,127,4500,0.99,0.0001,0.92,129233.000000000,0.166755693,1
input-150.tsp,128,4500,0.99,0.0001,0.92,129920.000000000,0.172522743,1
input-150.tsp,129,4500,0.99,0.0001,0.92,127485.937500000,0.165720221,1
input-150.tsp,130,4500,0.99,0.0001,0.92,131168.000000000,0.156551985,1
input-150.tsp,133,4500,0.99,0.0001,0.92,133120.000000000,0.156194208,1
input-150.tsp,131,4500,0.99,0.0001,0.92,131712.000000000,0.171870006,1
input-150.tsp,132,4500,0.99,0.0001,0.92,131264.000000000,0.161475492,1
input-150.tsp,134,4500,0.99,0.0001,0.92,126976.000000000,0.166614612,1
input-150.tsp,135,4500,0.99,0.0001,0.92,130263.875000000,0.146668543,1
input-150.tsp,136,4500,0.99,0.0001,0.92,133509.000000000,0.168564195,1
input-150.tsp,137,4500,0.99,0.0001,0.92,130048.000000000,0.163094381,1
