instance,seed,batch_size,cooling,epsilon,accept_percentage,initial_temperature,cost,feasible
input-150.tsp,1,10000,0.95,0.0001,0.9,122880.000000000,0.167616676,1
input-150.tsp,2,10000,0.95,0.0001,0.9,122088.000000000,0.161645584,1
input-150.tsp,3,10000,0.95,0.0001,0.9,120319.863281250,0.167607479,1
input-150.tsp,4,10000,0.95,0.0001,0.9,122480.059082031,0.161947357,1
input-150.tsp,5,10000,0.95,0.0001,0.9,121472.000000000,0.153079801,1
input-150.tsp,6,10000,0.95,0.0001,0.9,122880.000000000,0.170958752,1
input-150.tsp,7,10000,0.95,0.0001,0.9,122880.000000000,0.155513197,1
input-150.tsp,8,10000,0.95,0.0001,0.9,121085.937011719,0.162562296,1
input-150.tsp,9,10000,0.95,0.0001,0.9,120832.000000000,0.160763932,1
input-150.tsp,10,10000,0.95,0.0001,0.9,120576.000000000,0.172229020,1
