instance,seed,batch_size,cooling,epsilon,accept_percentage,initial_temperature,cost,feasible
input-150.tsp,77,4500,0.98,0.0001,0.92,133248.000000000,0.165777151,1
input-150.tsp,78,4500,0.98,0.0001,0.92,131152.000000000,0.162693764,1
input-150.tsp,79,4500,0.98,0.0001,0.92,133136.000000000,0.170206250,1
input-150.tsp,80,4500,0.98,0.0001,0.92,132608.000000000,0.159792989,1
input-150.tsp,81,4500,0.98,0.0001,0.92,131392.000000000,0.163837875,1
input-150.tsp,82,4500,0.98,0.0001,0.92,129024.000000000,0.150043183,1
input-150.tsp,84,4500,0.98,0.0001,0.92,131400.000000000,0.156597446,1
input-150.tsp,83,4500,0.98,0.0001,0.92,132112.000000000,0.160467392,1
input-150.tsp,85,4500,0.98,0.0001,0.92,132096.000000000,0.163364229,1
input-150.tsp,86,4500,0.98,0.0001,0.92,131584.000000000,0.172206856,1
input-150.tsp,87,4500,0.98,0.0001,0.92,131584.000000000,0.150942214,1
input-150.tsp,88,4500,0.98,0.0001,0.92,131456.000000000,0.164338616,1
input-150.tsp,89,4500,0.98,0.0001,0.92,129792.000000000,0.165558400,1
input-150.tsp,90,4500,0.98,0.0001,0.92,128761.350097656,0.164776268,1
input-150.tsp,91,4500,0.98,0.0001,0.92,130616.635742188,0.171315285,1
input-150.tsp,92,4500,0.98,0.0001,0.92,129768.000000000,0.164024092,1
input-150.tsp,93,4500,0.98,0.0001,0.92,131976.000000000,0.147230726,1
input-150.tsp,94,4500,0.98,0.0001,0.92,132096.000000000,0.160256968,1
input-150.tsp,95,4500,0.98,0.0001,0.92,131840.000000000,0.169512455,1
input-150.tsp,96,4500,0.98,0.0001,0.92,132448.000000000,0.166741226,1
input-150.tsp,97,4500,0.98,0.0001,0.92,131956.000000000,0.166686826,1
input-150.tsp,98,4500,0.98,0.0001,0.92,126976.000000000,0.171933028,1
input-150.tsp,101,4500,0.98,0.0001,0.92,126976.000000000,0.172050214,1
input-150.tsp,100,4500,0.98,0.0001,0.92,132053.296875000,0.176423107,1
input-150.tsp,99,4500,0.98,0.0001,0.92,133120.162109375,0.170985299,1
input-150.tsp,103,4500,0.98,0.0001,0.92,133144.000000000,0.172850795,1
input-150.tsp,102,4500,0.98,0.0001,0.92,130560.000000000,0.162873715,1
input-150.tsp,104,4500,0.98,0.0001,0.92,130997.022460938,0.179589246,1
input-150.tsp,105,4500,0.98,0.0001,0.92,129926.000000000,33759.793518922,0
input-150.tsp,106,4500,0.98,0.0001,0.92,131184.000000000,0.173291167,1
input-150.tsp,109,4500,0.98,0.0001,0.92,133120.000000000,0.167707491,1
input-150.tsp,107,4500,0.98,0.0001,0.92,126975.765625000,0.170847794,1
input-150.tsp,108,4500,0.98,0.0001,0.92,126976.000000000,0.151971436,1
input-150.tsp,110,4500,0.98,0.0001,0.92,131977.500488281,0.171372384,1
input-150.tsp,111,4500,0.98,0.0001,0.92,131208.319335938,33759.802108921,0
input-150.tsp,112,4500,0.98,0.0001,0.92,131984.000000000,0.156359006,1
input-150.tsp,113,4500,0.98,0.0001,0.92,131456.000000000,0.174354509,1
input-150.tsp,115,4500,0.98,0.0001,0.92,131142.812500000,0.178564085,1
input-150.tsp,114,4500,0.98,0.0001,0.92,132608.000000000,0.147159945,1
input-150.tsp,117,4500,0.98,0.0001,0.92,133120.000000000,0.170668179,1
input-150.tsp,116,4500,0.98,0.0001,0.92,130048.000000000,0.171548059,1
input-150.tsp,118,4500,0.98,0.0001,0.92,129396.000000000,0.174235906,1
input-150.tsp,119,4500,0.98,0.0001,0.92,131840.000000000,0.174972117,1
input-150.tsp,120,4500,0.98,0.0001,0.92,133120.000000000,0.165186379,1
input-150.tsp,121,4500,0.98,0.0001,0.92,129024.000000000,0.146837569,1
input-150.tsp,122,4500,0.98,0.0001,0.92,131136.000000000,0.176055799,1
input-150.tsp,123,4500,0.98,0.0001,0.92,132352.000000000,0.166572311,1
input-150.tsp,125,4500,0.98,0.0001,0.92,132026.250000000,0.163676251,1
input-150.tsp,124,4500,0.98,0.0001,0.92,129440.000000000,0.172753797,1
input-150.tsp,126,4500,0.98,0.0001,0.92,139264.000000000,0.163253721,1
input-150.tsp,127,4500,0.98,0.0001,0.92,129233.000000000,0.166912283,1
input-150.tsp,128,4500,0.98,0.0001,0.92,129920.000000000,33759.800934613,0
input-150.tsp,129,4500,0.98,0.0001,0.92,127485.937500000,0.148587044,1
input-150.tsp,131,4500,0.98,0.0001,0.92,131712.000000000,0.164070835,1
input-150.tsp,132,4500,0.98,0.0001,0.92,131264.000000000,0.165734622,1
input-150.tsp,130,4500,0.98,0.0001,0.92,131168.000000000,0.157430517,1
