instance,seed,batch_size,cooling,epsilon,accept_percentage,initial_temperature,cost,feasible
input-40.tsp,2,4000,0.995,1e-05,0.9,350092.003906250,0.290144153,1
input-40.tsp,4,4000,0.995,1e-05,0.9,350208.000000000,0.300630764,1
input-40.tsp,3,4000,0.995,1e-05,0.9,368640.016113281,0.307821179,1
input-40.tsp,1,4000,0.995,1e-05,0.9,346112.000000000,0.279026372,1
input-40.tsp,7,4000,0.995,1e-05,0.9,349360.000000000,0.282886327,1
input-40.tsp,0,4000,0.995,1e-05,0.9,350208.000000000,0.285074745,1
input-40.tsp,6,4000,0.995,1e-05,0.9,344064.000000000,0.287551216,1
input-40.tsp,5,4000,0.995,1e-05,0.9,337887.750000000,0.290858098,1
input-40.tsp,8,4000,0.995,1e-05,0.9,352256.000000000,0.291614024,1
input-40.tsp,10,4000,0.995,1e-05,0.9,352256.000000000,0.283899758,1
input-40.tsp,12,4000,0.995,1e-05,0.9,335872.000000000,0.300056614,1
input-40.tsp,11,4000,0.995,1e-05,0.9,360448.000488281,0.288480098,1
input-40.tsp,9,4000,0.995,1e-05,0.9,348688.375000000,0.284211871,1
input-40.tsp,14,4000,0.995,1e-05,0.9,352402.908691406,0.287013267,1
input-40.tsp,15,4000,0.995,1e-05,0.9,344064.000000000,0.276917353,1
input-40.tsp,13,4000,0.995,1e-05,0.9,353280.000000000,0.276928630,1
input-40.tsp,16,4000,0.995,1e-05,0.9,351680.000000000,0.287834696,1
input-40.tsp,17,4000,0.995,1e-05,0.9,343896.000000000,0.288166090,1
input-40.tsp,21,4000,0.995,1e-05,0.9,339839.875000000,0.284418562,1
input-40.tsp,19,4000,0.995,1e-05,0.9,345600.000000000,0.300013110,1
input-40.tsp,18,4000,0.995,1e-05,0.9,348239.057128906,0.293520791,1
input-40.tsp,22,4000,0.995,1e-05,0.9,356480.000000000,0.295489751,1
input-40.tsp,20,4000,0.995,1e-05,0.9,344064.000000000,0.291375851,1
input-40.tsp,23,4000,0.995,1e-05,0.9,339456.000000000,0.297796560,1
input-40.tsp,24,4000,0.995,1e-05,0.9,351256.000000000,0.272617734,1
input-40.tsp,27,4000,0.995,1e-05,0.9,349699.625000000,0.268910201,1
input-40.tsp,28,4000,0.995,1e-05,0.9,344064.000000000,0.279781720,1
input-40.tsp,29,4000,0.995,1e-05,0.9,360458.001464844,0.301057007,1
input-40.tsp,25,4000,0.995,1e-05,0.9,356928.000000000,0.291640499,1
input-40.tsp,30,4000,0.995,1e-05,0.9,344064.000000000,0.293995230,1
input-40.tsp,31,4000,0.995,1e-05,0.9,346644.000000000,0.281357670,1
input-40.tsp,26,4000,0.995,1e-05,0.9,347996.000000000,0.301696111,1
input-40.tsp,32,4000,0.995,1e-05,0.9,344064.000000000,0.296282338,1
input-40.tsp,33,4000,0.995,1e-05,0.9,348160.000000000,0.273911625,1
input-40.tsp,35,4000,0.995,1e-05,0.9,344829.500000000,0.298955315,1
input-40.tsp,36,4000,0.995,1e-05,0.9,345600.000000000,0.284211871,1
input-40.tsp,37,4000,0.995,1e-05,0.9,349669.223632812,0.273175997,1
input-40.tsp,34,4000,0.995,1e-05,0.9,353024.000000000,0.290292100,1
input-40.tsp,38,4000,0.995,1e-05,0.9,351744.000000000,0.276199656,1
input-40.tsp,39,4000,0.995,1e-05,0.9,343296.000000000,0.295050819,1
input-40.tsp,40,4000,0.995,1e-05,0.9,360448.000000000,0.293561918,1
input-40.tsp,41,4000,0.995,1e-05,0.9,360448.000000000,0.279781720,1
input-40.tsp,43,4000,0.995,1e-05,0.9,344064.000000000,0.286918553,1
input-40.tsp,45,4000,0.995,1e-05,0.9,344064.000000000,0.290669892,1
input-40.tsp,44,4000,0.995,1e-05,0.9,343168.000000000,0.300408479,1
input-40.tsp,42,4000,0.995,1e-05,0.9,360704.000488281,0.295908353,1
input-40.tsp,46,4000,0.995,1e-05,0.9,357376.000488281,0.287084715,1
input-40.tsp,47,4000,0.995,1e-05,0.9,352768.000000000,0.289930958,1
input-40.tsp,48,4000,0.995,1e-05,0.9,354348.289062500,0.283437437,1
input-40.tsp,49,4000,0.995,1e-05,0.9,352256.000000000,0.272412472,1
input-40.tsp,50,4000,0.995,1e-05,0.9,352273.165527344,0.292669745,1
input-40.tsp,51,4000,0.995,1e-05,0.9,360448.000000000,0.289701354,1
